checking_balance,months_loan_duration,credit_history,amount,savings_balance,employment_duration,percent_of_income,years_at_residence,age,existing_loans_count,dependents,phone,default,purpose_business,purpose_car,purpose_car0,purpose_education,purpose_furniture/appliances,purpose_renovations,housing_other,housing_own,housing_rent,other_credit_bank,other_credit_none,other_credit_store,job_management,job_skilled,job_unemployed,job_unskilled
1,6,1,1169,-1,5,4,4,67,2,1,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
2,48,3,5951,1,3,2,2,22,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
-1,12,1,2096,1,4,2,3,49,1,2,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
1,42,3,7882,1,4,2,4,45,1,2,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
1,24,2,4870,1,3,3,4,53,2,2,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
-1,36,3,9055,-1,3,2,4,35,1,2,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
-1,24,3,2835,3,5,3,4,53,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
2,36,3,6948,1,3,2,2,35,1,1,2,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
-1,12,3,3059,4,4,2,4,61,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
2,30,1,5234,1,1,4,2,28,2,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
2,12,3,1295,1,2,3,1,25,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,48,3,4308,1,2,3,4,24,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
2,12,3,1567,1,3,1,1,22,1,1,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
1,24,1,1199,1,5,4,4,60,2,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
1,15,3,1403,1,3,2,4,28,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,24,3,1282,2,3,4,2,32,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
-1,24,1,2424,-1,5,4,4,53,2,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
1,30,5,8072,-1,2,2,3,25,3,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
2,24,3,12579,1,5,4,2,44,1,1,2,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
-1,24,3,3430,3,5,3,2,31,1,2,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
-1,9,1,2134,1,3,4,4,48,3,1,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,6,3,2647,3,3,2,3,44,1,2,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
1,10,1,2241,1,2,1,3,48,2,2,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
2,12,1,1804,2,2,3,4,44,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
-1,10,1,2069,-1,3,2,1,26,2,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
1,6,3,1374,1,3,1,2,36,1,1,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
-1,6,5,426,1,5,4,4,39,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
3,12,4,409,4,3,3,3,42,2,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
2,7,3,2415,1,3,3,2,34,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
1,60,2,6836,1,5,3,4,63,2,1,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
2,18,3,1913,4,2,3,3,36,1,1,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
1,24,3,4020,1,3,2,2,27,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
2,18,3,5866,2,3,2,2,30,2,1,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
-1,12,1,1264,-1,5,4,4,57,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
3,12,3,1474,1,2,4,1,33,1,1,2,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
2,45,1,4746,1,2,4,2,25,2,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
-1,48,1,6110,1,3,1,3,31,1,1,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
3,18,3,2100,1,3,4,2,37,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
3,10,3,1225,1,3,2,2,37,1,1,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
2,9,3,458,1,3,4,3,24,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
-1,30,3,2333,3,5,4,2,30,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
2,12,3,1158,3,3,3,1,26,1,1,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
2,18,2,6204,1,3,2,4,44,1,2,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
1,30,1,6187,2,4,1,4,24,2,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,48,1,6143,1,5,4,4,58,2,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
-1,11,1,1393,1,2,4,4,35,2,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
-1,36,3,2299,3,5,4,4,39,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
1,6,3,1352,3,1,1,2,23,1,1,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
-1,11,1,7228,1,3,1,4,39,2,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
-1,12,3,2073,2,3,4,2,28,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
2,24,2,2333,-1,2,4,2,29,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
2,27,2,5965,1,5,1,2,30,2,1,2,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
-1,12,3,1262,1,3,3,2,25,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
-1,18,3,3378,-1,3,2,1,31,1,1,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
2,36,2,2225,1,5,4,4,57,2,1,2,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
